Incident,Time,Nature,Address
14F143563,00:06:19,44LB,9600 ABOITE CENTER RD & TURF LN
14F143564,00:09:15,1 MEET,700 OAKLAWN CT
14F143565,00:17:01,EMS,2000 NUTTMAN AVE
14F143566,00:18:07,"46,96",6400 BAYBERRY DR
14F143567,00:20:17,51 THEFT,5800 FAIRFIELD AVE
14F143568,00:20:24,911 HANG UP,200 CUMBERLAND AVE
14F143569,00:33:12,911 HANG UP,200 CUMBERLAND AVE
14F143573,00:36:39,63 CONTACT,7400 HICKORY CREEK DR
14F143570,00:38:18,129,2700 HOAGLAND AVE
14F143571,00:43:12,30 TRAFFIC STOP,1200 COLISEUM BLVD N
14F143572,00:49:13,911 HANG UP,800 PETTIT AVE E & SOUTHPARK DR
14F143574,00:58:18,22RC RECOVERY,500 CURRIE HILL ST
14F143575,00:59:54,30 TRAFFIC STOP,2300 COLISEUM BLVD E & CRESCENT AV
14F143576,01:02:16,40A AUDIBLE,900 INCENTIVE DR
14F143577,01:07:50,"48,36",7100 BLUFFTON RD
14F143578,01:12:38,43 DISTURBANCE,1200 WALL ST
14F143579,01:27:36,"48,36",1900 BROADWAY
14F143580,01:35:21,26PP PINNED,3900 VANCE AVE & COLISEUM BLVD E
14F143581,01:52:46,22I JUV INVEST,1700 APPLE GLEN BLVD
14F143582,02:10:01,40A AUDIBLE,1100 STATE BLVD W
14F143583,02:12:10,"46,96",7500 MONACO PL
14F143584,02:31:52,"46,96",4800 ARLINGTON AVE
14F143585,02:41:15,911 HANG UP,2200 FAIRFIELD AVE
14F143586,03:01:34,"48,36",7300 ANTHONY BLVD S
14F143587,03:19:26,96JO,500 STATE BLVD W
14F143589,03:28:16,"41,36",1100 STATE BLVD W
14F143591,03:31:25,911 HANG UP,2900 TRENTMAN AVE
14F143592,03:40:09,911 HANG UP,5000 MARTINIQUE RD
14F143593,03:43:12,46 DOMESTIC,1100 KINNAIRD AVE
14F143594,03:44:43,911 HANG UP,4300 OXFORD ST
14F143595,03:48:07,40A AUDIBLE,6300 LIMA RD
14F143596,04:03:55,43 DISTURBANCE,1400 WASHINGTON CENTER RD W
14F143597,04:49:26,66 MENTALLY ILL,1800 ALLIGER ST
14F143598,05:14:01,48 SUSPICIOUS,4000 ROBINWOOD DR
14F143599,05:35:20,40A AUDIBLE,2200 COLGATE DR
14F143600,06:13:14,16V PICKUP VID,00 MAIN ST E
14F143601,06:19:29,16V PICKUP VID,00 MAIN ST E
14F143603,06:20:42,40A AUDIBLE,3500 ANTHONY BLVD N
14F143602,06:21:21,30 TRAFFIC STOP,31200 I 69 NB
14F143604,06:29:10,"46,96",2000 BAYER AVE
14F143605,06:44:20,30 TRAFFIC STOP,4800 ANTHONY BLVD S & PETTIT AVE E
14F143606,06:50:55,129,100 FLEMING AVE E
14F250045,07:16:00,18 WORK TRAFFIC,2800 SHERMAN BLVD & MILDRED AVE
14F250041,07:23:00,40A AUDIBLE,1500 DUPONT RD W
14F250040,07:34:00,17 MOTOR CHECK,1300 RABUS DR
14F250042,07:34:00,46 DOMESTIC,800 GREENLAWN AVE
14F250043,07:40:00,26 PI ACCIDENT,4000 SR 1 & DIEBOLD RD
14F250046,07:43:00,34 TRAFF HAZARD,3000 DUPONT RD E & I 69 316 SB ON
14F250044,07:44:00,25 PD ACCIDENT,3100 GOSHEN RD & I 69 309 NB ON RA
14F260061,07:49:00,22I JUV INVEST,3200 RAYMOND AVE
14F260062,08:01:00,22I JUV INVEST,1000 BUCHANAN ST
14F260063,08:04:00,25 PD ACCIDENT,600 CLAY ST & COLUMBIA AVE
14F260064,08:15:00,43 DISTURBANCE,900 FRANCIS ST
14F260065,08:29:00,911 HANG UP,500 CONGRESS AVE
14F250049,08:46:00,911 HANG UP,5000 SPEEDWAY DR
14F143610,08:53:25,EMS,4500 COLONIAL AVE S
14F143607,08:53:42,40A AUDIBLE,1000 ABBEY PLACE BLVD
14F143608,08:54:31,111I INJURED,4100 ARDMORE AVE & ENGLE RD
14F143609,08:55:22,18 WORK TRAFFIC,2600 FAIRFIELD AVE & PONTIAC ST W
14F143613,08:56:07,46 DOMESTIC,4300 HOLTON AVE
14F143611,08:56:23,22I JUV INVEST,5700 FAIRFIELD AVE & PAULDING RD W
14F143612,08:56:31,17 MOTOR CHECK,4100 BUESCHING DR
14F143614,09:00:30,65T SUICIDE THR,1300 CURDES AVE
14F143622,09:00:37,63 CONTACT,1900 BROADMOOR AVE
14F143620,09:02:11,25HS HIT SKIP,1000 LAFORT ST
14F143615,09:05:32,108 FOLLOWUP,900 HAMILTON AVE
