Incident,Time,Nature,Address
14F145735,07:48:30,23 VANDALISM,10300 STELLHORN RD
14F145736,07:49:46,51 THEFT,1900 FOX POINT TRL
14F145737,07:51:27,25 PD ACCIDENT,1200 MAPLECREST RD & LAKE AVE
14F145738,08:07:14,25 PD ACCIDENT,4500 LOWER HUNTINGTON RD
14F145739,08:22:01,40A AUDIBLE,300 COLISEUM BLVD E
14F145740,08:27:19,40A AUDIBLE,1800 MAGNAVOX WAY
14F145741,08:29:13,40A AUDIBLE,1800 COLISEUM BLVD N
14F145742,08:42:07,25HS HIT SKIP,1400 WELLS ST
14F145743,08:49:22,30 TRAFFIC STOP,10000 LIMA RD & NORTHBROOK BLVD
14F145744,08:59:53,17 MOTOR CHECK,1900 CREMER AVE
14F145745,09:09:02,41 MAN DOWN,7800 JEFFERSON BLVD W
14F145746,09:12:23,37 PARKING VIOL,1100 JEFFERSON BLVD W
14F145747,09:19:06,911 HANG UP,2700 BROADWAY
14F145749,09:20:14,114 HUNTERS,4400 PORTER DR
14F145748,09:21:04,30 TRAFFIC STOP,3800 CALHOUN ST S & RUDISILL BLVD
14F145750,09:26:55,46 DOMESTIC,6000 RADCLIFFE DR
14F145751,09:28:57,30 TRAFFIC STOP,3400 LOWER HUNTINGTON RD
14F145754,09:31:42,47 REMOVE ITEMS,7900 DECATUR RD
14F145752,09:34:30,43 DISTURBANCE,3700 CALHOUN ST S
14F145753,09:38:05,51 THEFT,6700 CLOVERCREST DR
14F145755,09:39:16,46 DOMESTIC,5000 TRUEMPER WAY
14F145756,09:42:39,30 TRAFFIC STOP,6000 ILLINOIS RD & GETZ RD
14F145757,10:03:15,46 DOMESTIC,3300 PORTAGE BLVD
14F145758,10:04:24,38 LOST/STOLEN,1200 CALIFORNIA AVE
14F145759,10:05:14,63 CONTACT,3300 CHEVIOT DR
14F145765,10:09:03,"16,97",6400 COVINGTON RD
14F145760,10:09:33,25 PD ACCIDENT,300 WASHINGTON BLVD W & EWING ST
