Incident,Time,Nature,Address
14F144049,08:31:57,51 THEFT,4600 ARDMORE AVE
14F144051,08:33:03,25 PD ACCIDENT,2000 FAIRFIELD AVE & WILLIAMS ST W
14F144052,08:35:37,14 WARRANT,1000 COLISEUM BLVD N
14F144053,08:39:12,29 SPECIAL ASGN,900 COLERICK ST
14F144054,08:41:08,30 TRAFFIC STOP,8800 LIMA RD & WALLEN RD W
14F144058,08:53:40,17 MOTOR CHECK,2900 GOSHEN RD
14F144055,08:53:46,33J LOCKED OUT,300 RUDISILL BLVD W
14F144056,09:00:22,129,600 JEFFERSON BLVD W
14F144057,09:00:32,129,500 JEFFERSON BLVD W
14F144059,09:13:54,51 THEFT,1000 COLISEUM BLVD W
14F144061,09:17:44,911 HANG UP,1800 LIMA LN
14F144060,09:19:05,51 THEFT,4600 MILLFORD CT
14F144062,09:22:56,911 HANG UP,9900 SILVER RIDGE CT
14F144063,09:23:46,63 CONTACT,600 PUTNAM ST
14F144064,09:40:30,"46,96",00 MAIN ST E
14F144065,09:42:22,911 HANG UP,3500 FELICIAN ST
14F144066,09:43:30,103 UNWANTED,1100 NUTTMAN AVE
14F144067,09:52:39,51 THEFT,4500 HILLEGAS RD
14F144068,09:54:26,"25,86",700 SNOWFALL RD
14F144070,10:01:35,62 PARTY ARMED,3100 LILLIE ST
14F144069,10:02:02,"51,35",5100 TRUEMPER WAY
14F144071,10:02:44,32A DEATH NOTIF,2400 SOUTHWAYNE AVE
14F144072,10:14:23,911 HANG UP,7000 COLDWATER RD
14F144073,10:18:15,56 MOLESTING,00 MAIN ST E
14F144074,10:18:37,40H HOLDUP ALRM,700 WASHINGTON CENTER RD W
14F144075,10:25:58,25 PD ACCIDENT,3500 STELLHORN RD & ROSEVIEW RD
14F144076,10:31:31,"25,86",500 WAGNER ST
14F144085,10:39:47,108 FOLLOWUP,00 MAIN ST E
14F144077,10:44:06,22I JUV INVEST,3800 WENONAH LN
14F144078,10:44:42,27 RECKLESS DRI,4300 LIMA RD & COLISEUM BLVD W
14F144079,10:47:06,39R STOLEN RECO,4800 SOUTHWAYNE AVE
14F144082,10:48:11,25HS HIT SKIP,3200 DIPLOMAT DR
14F144080,10:48:14,37 PARKING VIOL,800 EDGEWATER AVE
14F144081,10:49:06,56 MOLESTING,00 MAIN ST E
14F144083,10:53:14,40P PANIC ALARM,4100 WENONAH LN
14F144084,10:55:36,40A AUDIBLE,4500 COLONIAL AVE S
14F144086,11:05:05,103 UNWANTED,300 SUPERIOR ST W
14F144087,11:12:13,43 DISTURBANCE,1100 NEVADA AVE
14F144314,11:15:32,11 PICK UP PRIS,700 BROADWAY
14F144088,11:15:58,65T SUICIDE THR,700 LADDIE LN
14F144089,11:17:04,46 DOMESTIC,4800 WAYNE PARK DR
